"['0', 'mini-imagenet/python/train/n04067472/n0406747200000543.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000528.jpg']","['33', 'mini-imagenet/python/train/n03337140/n0333714000000499.jpg']"
"['21', 'mini-imagenet/python/train/n02091831/n0209183100000150.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000505.jpg']","['54', 'mini-imagenet/python/train/n03676483/n0367648300000492.jpg']"
"['0', 'mini-imagenet/python/train/n04067472/n0406747200000041.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000348.jpg']","['11', 'mini-imagenet/python/train/n06794110/n0679411000000343.jpg']"
"['25', 'mini-imagenet/python/train/n02089867/n0208986700000157.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000172.jpg']","['3', 'mini-imagenet/python/train/n13054560/n1305456000000156.jpg']"
"['0', 'mini-imagenet/python/train/n04067472/n0406747200000387.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000195.jpg']","['62', 'mini-imagenet/python/train/n03347037/n0334703700000190.jpg']"
"['37', 'mini-imagenet/python/train/n02747177/n0274717700000072.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000377.jpg']","['57', 'mini-imagenet/python/train/n03220513/n0322051300000380.jpg']"
"['0', 'mini-imagenet/python/train/n04067472/n0406747200000163.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000436.jpg']","['48', 'mini-imagenet/python/train/n04596742/n0459674200000454.jpg']"
"['0', 'mini-imagenet/python/train/n04067472/n0406747200000050.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000244.jpg']","['10', 'mini-imagenet/python/train/n13133613/n1313361300000220.jpg']"
"['0', 'mini-imagenet/python/train/n04067472/n0406747200000330.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000197.jpg']","['24', 'mini-imagenet/python/train/n03998194/n0399819400000176.jpg']"
"['10', 'mini-imagenet/python/train/n13133613/n1313361300000193.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000297.jpg']","['56', 'mini-imagenet/python/train/n04509417/n0450941700000289.jpg']"
"['0', 'mini-imagenet/python/train/n04067472/n0406747200000335.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000356.jpg']","['53', 'mini-imagenet/python/train/n04275548/n0427554800000326.jpg']"
"['52', 'mini-imagenet/python/train/n03017168/n0301716800000300.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000437.jpg']","['33', 'mini-imagenet/python/train/n03337140/n0333714000000418.jpg']"
"['0', 'mini-imagenet/python/train/n04067472/n0406747200000507.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000415.jpg']","['26', 'mini-imagenet/python/train/n03400231/n0340023100000379.jpg']"
"['2', 'mini-imagenet/python/train/n04258138/n0425813800000281.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000192.jpg']","['1', 'mini-imagenet/python/train/n03527444/n0352744400000196.jpg']"
"['0', 'mini-imagenet/python/train/n04067472/n0406747200000169.jpg']","['0', 'mini-imagenet/python/train/n04067472/n0406747200000304.jpg']","['54', 'mini-imagenet/python/train/n03676483/n0367648300000302.jpg']"
